web-scraper-order,web-scraper-start-url,idName,idName-href,name,image-src,candidateConnection,contactLinks1,contactLinks1-href,contactLinks2,contactLinks2-href,contactLinks3,contactLinks3-href,contactLinks4,contactLinks4-href,contactLinks5,contactLinks5-href,contactLinks6,contactLinks6-href
1585128163-782,https://dev.thegoodparty.org/scrape/candidates,1889|Mark Kelly|,https://ballotpedia.org/Mark_Kelly,Mark Kelly,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mark_Kelly.jpg,null,Campaign website,https://markkelly.com/,Campaign Facebook,https://www.facebook.com/Capt.MarkKelly/,Campaign Twitter,https://www.twitter.com/CaptMarkKelly,null,,null,,null,
1585127986-743,https://dev.thegoodparty.org/scrape/candidates,1935|Leslie Grant|,https://ballotpedia.org/Leslie_Grant,Leslie Grant,,null,,,null,,null,,null,,null,,null,
1585124845-143,https://dev.thegoodparty.org/scrape/candidates,1633|Kina Collins|,https://ballotpedia.org/Kina_Collins,Kina Collins,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kina_Collins_.jpg,"<div class=""survey-result"">
				<p class=""survey-question"">What would be your top three priorities, if elected?</p>
				<p class=""survey-response"">I stand on the principle that healthcare is a fundamental human right. I believe that a single payer Medicare for all system would bring us full and equitable access to quality healthcare for every resident in our country, including immigrants and undocumented people.  
Gun violence is a public health epidemic in our country, and I believe we need the research and resources to break the cycle. I will push for critical investments to be made in trauma-informed education, and advocate for increases in flexible funding to support innovative solutions to gun violence in local communities. 
The current criminal justice system profits off of mass incarceration, targets communities of color, and continues to uphold institutional racism. I am committed to holding law enforcement officers accountable, increasing officer and leadership diversity, and eliminating racial profiling.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">In 2018, I built a statewide coalition that helped pass historic civil rights legislation to establish The Illinois Council on Women and Girls. This council prioritizes the needs of women, including women who identify as transgender, when evaluating state policies and allocating resources. In response to the Trump administration’s elimination of the White House Council on Women and Girls, I was determined to create a state level council in Illinois. I traveled the state listening to the needs and perspectives of hundreds of women in community focus groups. The bill that I co-authored passed with overwhelming bipartisan support in the Illinois General Assembly, and was signed into law on August 2018. It is important that there is now a body established in our state to evaluate policies and programs and to ensure that important decisions that involve women cannot be made without the input of women.</p>
			</div>",Campaign website,https://kinaforcongress.com/,Campaign Facebook,https://www.facebook.com/KinaForCongress/,Campaign Twitter,https://www.twitter.com/Kina4Congress,Personal Facebook,https://www.facebook.com/kina.collins,null,,null,
1585125869-330,https://dev.thegoodparty.org/scrape/candidates,1421|Wendy Davis|,https://ballotpedia.org/Wendy_Davis,Wendy Davis,,null,,,null,,null,,null,,null,,null,
1585126477-444,https://dev.thegoodparty.org/scrape/candidates,1296|Ashley Hinson|,https://ballotpedia.org/Ashley_Hinson,Ashley Hinson,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ashley_Hinson.png,null,Campaign website,https://ashleyhinson.com/,Campaign Facebook,https://www.facebook.com/AshleyHinsonIowa/,Campaign Twitter,https://www.twitter.com/hinsonashley,Personal Facebook,http://www.facebook.com/hinsonashley,null,,null,
1585130088-1049,https://dev.thegoodparty.org/scrape/candidates,399|Darren Soto|incumbent,https://ballotpedia.org/Darren_Soto,Darren Soto,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Darren_Soto_115th_Congress_photo.jpg,null,Official website,https://soto.house.gov/,Official Facebook,https://www.facebook.com/CongressmanDarrenSoto/,Official Twitter,https://www.twitter.com/RepDarrenSoto,Campaign Facebook,http://www.facebook.com/DarrenSotoFlorida,null,,null,
1585129368-957,https://dev.thegoodparty.org/scrape/candidates,413|Brian Fitzpatrick|incumbent,https://ballotpedia.org/Brian_Fitzpatrick,Brian Fitzpatrick,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian_Fitzpatrick_official_congressional_photo.jpg,null,Official website,https://fitzpatrick.house.gov/,Official Facebook,https://www.facebook.com/RepBrianFitzpatrick/,Official Twitter,https://www.twitter.com/repbrianfitz,Campaign website,https://www.brianfitzpatrick.com/,Campaign Facebook,https://www.facebook.com/BrianFitzpatrickForCongress/,Campaign Twitter,https://www.twitter.com/BrianFitzUSA
1585126318-415,https://dev.thegoodparty.org/scrape/candidates,1328|Alek Skarlatos|,https://ballotpedia.org/Alek_Skarlatos,Alek Skarlatos,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Alek_Skarlatos.jpg,null,Campaign website,https://www.alekfororegon.com/,Campaign Facebook,https://www.facebook.com/AlekForOregon/,Campaign Twitter,https://www.twitter.com/alekskarlatos,Personal Facebook,https://www.facebook.com/alek.skarlatos,null,,null,
1585126007-355,https://dev.thegoodparty.org/scrape/candidates,1395|Tom Watson|,https://ballotpedia.org/Tom_Watson,Tom Watson,,null,,,null,,null,,null,,null,,null,
1585125130-197,https://dev.thegoodparty.org/scrape/candidates,1571|Bob Musselwhite|,https://ballotpedia.org/Bob_Musselwhite,Bob Musselwhite,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Musselwhite.png,null,Campaign website,http://bobmusselwhiteforcongress.com/,Campaign Facebook,https://www.facebook.com/people/Bob-Musselwhite/100016426321496,Campaign Twitter,https://www.twitter.com/BobMusselwhite,Personal Facebook,https://www.facebook.com/profile.php?id=100016426321496,null,,null,
